region,cut_com,commune,forms,news,search,webmap,streetmap,transport,socialmedia,email,phone,mobile,transac,followup,digital_certificate,citizen,payments,personalization,part
BIOBIO,16201,QUIRIHUE,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0
BIOBIO,,RANQUIL,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
BIOBIO,16301,SAN CARLOS,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0
BIOBIO,16304,SAN FABIAN,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0
BIOBIO,16108,SAN IGNACIO,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0
BIOBIO,16305,SAN NICOLAS,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
BIOBIO,8108,SAN PEDRO DE LA PAZ,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
BIOBIO,8310,SAN ROSENDO,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0
BIOBIO,8311,SANTA BARBARA,1,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0
BIOBIO,8109,SANTA JUANA,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0
BIOBIO,8110,TALCAHUANO,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0
BIOBIO,8207,TIRUA,,,,,,,,,,,,,,,,,
BIOBIO,8111,TOME,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1
BIOBIO,16207,TREGUACO,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
